enddate,pollster,grade,approve,week
2018-05-01,Morning Consult,B/C,42,1818
2018-05-02,SurveyMonkey,D-,45,1818
2018-05-02,Ipsos,B-,48.1,1818
2018-05-01,Rasmussen Reports/Pulse Opinion Research,C+,49,1818
2018-04-30,YouGov,B,38,1818
2018-05-04,IBD/TIPP,A/B,38,1818
2018-05-01,YouGov,B,40,1818
2018-05-02,Rasmussen Reports/Pulse Opinion Research,C+,50,1818
2018-05-02,YouGov,B,40,1818
2018-05-03,Ipsos,B-,47.8,1818
2018-05-02,YouGov,B,41,1818
2018-05-03,Rasmussen Reports/Pulse Opinion Research,C+,51,1818
2018-05-04,Ipsos,B-,46.6,1818
2018-05-04,SurveyMonkey,D-,45,1818
2018-05-05,Ipsos,B-,46.1,1818
2018-05-06,Gallup,B,42,1818
2018-05-03,YouGov,B,42,1818
2018-05-06,Rasmussen Reports/Pulse Opinion Research,C+,49,1818
2018-05-04,YouGov,B,40,1818
2018-05-05,Morning Consult,B/C,42,1818
2018-05-06,Ipsos,B-,43.9,1818
2018-05-05,CNN/SSRS,B/C,41,1818
2018-05-06,CBS News,A,40,1818
2018-05-07,Ipsos,B-,44.1,1819
2018-05-06,YouGov,B,41,1818
2018-05-07,Rasmussen Reports/Pulse Opinion Research,C+,47,1819
2018-05-17,Pew Research Center,B/C,36,1820
2018-05-09,SurveyMonkey,D-,44,1819
2018-05-08,Ipsos,B-,43.8,1819
2018-05-09,Ipsos,B-,43.6,1819
2018-05-07,YouGov,B,38,1819
2018-05-08,YouGov,B,41,1819
2018-05-08,Rasmussen Reports/Pulse Opinion Research,C+,47,1819
2018-05-08,YouGov,B,42,1819
2018-05-10,Ipsos,B-,43.5,1819
2018-05-08,YouGov,B,39,1819
2018-05-09,Rasmussen Reports/Pulse Opinion Research,C+,48,1819
2018-05-10,YouGov,B,40,1819
2018-05-10,Rasmussen Reports/Pulse Opinion Research,C+,49,1819
2018-05-11,Ipsos,B-,43.3,1819
2018-05-16,Cards Against Humanity/Survey Sampling International,,38,1820
2018-05-16,icitizen,,46,1820
2018-05-10,YouGov,B,40,1819
2018-05-12,Ipsos,B-,43.1,1819
2018-05-13,SurveyMonkey,D-,44,1819
2018-05-13,Gallup,B,43,1819
2018-05-12,Zogby Analytics,C+,46,1819
2018-05-13,Ipsos,B-,43.5,1819
2018-05-12,YouGov,B,42,1819
2018-05-13,Rasmussen Reports/Pulse Opinion Research,C+,47,1819
2018-05-12,YouGov,B,38,1819
2018-05-14,Rasmussen Reports/Pulse Opinion Research,C+,47,1820
2018-05-14,Morning Consult,B/C,42,1820
2018-05-14,Ipsos,B-,44.5,1820
2018-05-15,Ipsos,B-,44.7,1820
2018-05-16,SurveyMonkey,D-,45,1820
2018-05-14,YouGov,B,40,1820
2018-05-15,Rasmussen Reports/Pulse Opinion Research,C+,48,1820
2018-05-15,YouGov,B,39,1820
2018-05-16,Ipsos,B-,44.7,1820
2018-05-16,Global Strategy Group/GBAO (Navigator Research),,41,1820
2018-05-15,YouGov,B,40,1820
2018-05-16,Rasmussen Reports/Pulse Opinion Research,C+,49,1820
2018-05-17,Ipsos,B-,43.7,1820
2018-05-18,Ipsos,B-,44.3,1820
2018-05-16,YouGov,B,39,1820
2018-05-17,Rasmussen Reports/Pulse Opinion Research,C+,50,1820
2018-05-19,Ipsos,B-,43.5,1820
2018-05-20,Gallup,B,42,1820
2018-05-18,YouGov,B,41,1820
2018-05-19,Morning Consult,B/C,44,1820
2018-05-20,Rasmussen Reports/Pulse Opinion Research,C+,47,1820
2018-05-20,Ipsos,B-,42.7,1820
2018-05-21,SurveyMonkey,D-,45,1821
2018-05-20,YouGov,B,40,1820
2018-05-20,American Research Group,B,37,1820
2018-05-21,McLaughlin & Associates,C/D,49,1821
2018-05-21,Ipsos,B-,43.5,1821
2018-05-21,Rasmussen Reports/Pulse Opinion Research,C+,50,1821
2018-05-22,Ipsos,B-,45.6,1821
2018-05-21,Morning Consult,B/C,41,1821
2018-05-23,SurveyMonkey,D-,45,1821
2018-05-22,Morning Consult,B/C,43,1821
2018-05-21,YouGov,B,38,1821
2018-05-21,YouGov,B,40,1821
2018-05-23,Ipsos,B-,46.4,1821
2018-05-22,YouGov,B,38,1821
2018-05-22,Rasmussen Reports/Pulse Opinion Research,C+,48,1821
2018-05-22,Harris Poll,C,45,1821
2018-05-22,YouGov,B,37.5,1821
2018-05-24,Ipsos,B-,44.8,1821
2018-05-30,YouGov,B,44,1822
2018-05-23,Rasmussen Reports/Pulse Opinion Research,C+,49,1821
2018-05-25,Ipsos,B-,44,1821
2018-05-24,SurveyMonkey,D-,45,1821
2018-05-23,YouGov,B,41,1821
2018-05-24,Rasmussen Reports/Pulse Opinion Research,C+,49,1821
2018-05-27,Gallup,B,40,1821
2018-05-30,icitizen,,39,1822
2018-05-26,Ipsos,B-,42.4,1821
2018-05-27,Ipsos,B-,40.5,1821
2018-05-26,SurveyMonkey,D-,45,1821
2018-05-27,Rasmussen Reports/Pulse Opinion Research,C+,49,1821
2018-05-28,Ipsos,B-,38.6,1822
2018-05-27,YouGov,B,41,1821
2018-05-29,Morning Consult,B/C,44,1822
2018-05-28,YouGov,B,39,1822
2018-05-29,Morning Consult,B/C,44,1822
2018-05-28,Rasmussen Reports/Pulse Opinion Research,C+,48,1822
2018-05-28,YouGov,B,39,1822
2018-05-28,YouGov,B,41,1822
2018-05-30,SurveyMonkey,D-,45,1822
2018-05-29,Ipsos,B-,39,1822
2018-05-29,YouGov,B,42,1822
2018-05-29,Rasmussen Reports/Pulse Opinion Research,C+,47,1822
2018-05-29,YouGov,B,39,1822
2018-05-31,Morning Consult,B/C,42,1822
2018-05-30,Ipsos,B-,39.3,1822
2018-05-31,Saint Leo University,C/D,46.1,1822
2018-05-30,Rasmussen Reports/Pulse Opinion Research,C+,47,1822
2018-05-31,Ipsos,B-,40.5,1822
2018-05-30,YouGov,B,40,1822
2018-05-30,YouGov,B,39,1822
2018-05-31,Rasmussen Reports/Pulse Opinion Research,C+,48,1822
2018-06-01,Ipsos,B-,40.8,1822
2018-05-31,YouGov,B,40,1822
2018-06-02,Ipsos,B-,41.1,1822
2018-06-03,Gallup,B,41,1822
2018-06-03,Ipsos,B-,40.1,1822
2018-06-03,Rasmussen Reports/Pulse Opinion Research,C+,48,1822
2018-06-01,Winston Group,B/C,41,1822
2018-06-01,YouGov,B,43,1822
2018-06-04,Ipsos,B-,38.9,1823
2018-06-03,YouGov,B,40,1822
2018-06-04,Morning Consult,B/C,41,1823
2018-06-04,Rasmussen Reports/Pulse Opinion Research,C+,48,1823
2018-06-05,IBD/TIPP,A/B,36,1823
2018-06-05,GQR Research,B,45,1823
2018-06-05,Ipsos,B-,37.7,1823
2018-06-06,SurveyMonkey,D-,45,1823
2018-06-03,YouGov,B,41,1822
2018-06-05,Quinnipiac University,B+,40,1823
2018-06-04,NBC News/The Wall Street Journal,A-,44,1823
2018-06-05,YouGov,B,39,1823
2018-06-06,Ipsos,B-,38.8,1823
2018-06-04,YouGov,B,38,1823
2018-06-05,Rasmussen Reports/Pulse Opinion Research,C+,49,1823
2018-06-06,Rasmussen Reports/Pulse Opinion Research,C+,49,1823
2018-06-06,Zogby Analytics,C+,44,1823
2018-06-06,YouGov,B,39,1823
2018-06-07,Ipsos,B-,38.4,1823
2018-06-06,Fox News,A-,45,1823
2018-06-07,Rasmussen Reports/Pulse Opinion Research,C+,47,1823
2018-06-08,Ipsos,B-,39.5,1823
2018-06-06,YouGov,B,41,1823
2018-06-10,SurveyMonkey,D-,44,1823
2018-06-09,Ipsos,B-,40.3,1823
2018-06-07,YouGov,B,40,1823
2018-06-10,Gallup,B,42,1823
2018-06-10,Rasmussen Reports/Pulse Opinion Research,C+,47,1823
2018-06-10,Ipsos,B-,40.3,1823
2018-06-15,Cards Against Humanity/Survey Sampling International,,42,1824
2018-06-08,YouGov,B,40,1823
2018-06-11,Ipsos,B-,39.7,1824
2018-06-11,Rasmussen Reports/Pulse Opinion Research,C+,49,1824
2018-06-12,Pew Research Center,B/C,40,1824
2018-06-10,YouGov,B,39,1823
2018-06-10,Public Policy Polling,B,39,1823
2018-06-10,Morning Consult,B/C,45,1823
2018-06-13,SurveyMonkey,D-,45,1824
2018-06-10,Morning Consult,B/C,40,1823
2018-06-10,YouGov,B,42,1823
2018-06-12,Ipsos,B-,41.4,1824
2018-06-12,YouGov,B,42,1824
2018-06-12,Rasmussen Reports/Pulse Opinion Research,C+,49,1824
2018-06-13,Ipsos,B-,42.3,1824
2018-06-14,Ipsos,B-,42.9,1824
2018-06-13,YouGov,B,39,1824
2018-06-13,YouGov,B,43,1824
2018-06-13,Rasmussen Reports/Pulse Opinion Research,C+,49,1824
2018-06-14,YouGov,B,44,1824
2018-06-15,Ipsos,B-,43.2,1824
2018-06-14,Morning Consult,B/C,44,1824
2018-06-13,Monmouth University,A+,43,1824
2018-06-14,Rasmussen Reports/Pulse Opinion Research,C+,47,1824
2018-06-14,Ipsos,B-,36,1824
2018-06-14,YouGov,B,43,1824
2018-06-16,Ipsos,B-,44.1,1824
2018-06-15,Morning Consult,B/C,43,1824
2018-06-17,Gallup,B,45,1824
2018-06-17,Global Strategy Group/GBAO (Navigator Research),,41,1824
2018-06-17,Ipsos,B-,43.1,1824
2018-06-17,Rasmussen Reports/Pulse Opinion Research,C+,48,1824
2018-06-15,YouGov,B,40,1824
2018-06-17,CNN/SSRS,B/C,39,1824
2018-06-18,Rasmussen Reports/Pulse Opinion Research,C+,48,1825
2018-06-17,CBS News,A,42,1824
2018-06-18,Suffolk University,A,43.1,1825
2018-06-18,Morning Consult,B/C,43,1825
2018-06-18,Ipsos,B-,42.5,1825
2018-06-18,AP-NORC,,41,1825
2018-06-17,Quinnipiac University,B+,43,1824
2018-06-20,Kaiser Family Foundation,,42,1825
2018-06-17,YouGov,B,44,1824
2018-06-19,McLaughlin & Associates,C/D,49,1825
2018-06-18,YouGov,B,40,1825
2018-06-19,SurveyMonkey,D-,43,1825
2018-06-19,Ipsos,B-,42.6,1825
2018-06-20,SurveyMonkey,D-,44,1825
2018-06-19,YouGov,B,41,1825
2018-06-20,Ipsos,B-,41.7,1825
2018-06-18,YouGov,B,40,1825
2018-06-19,Rasmussen Reports/Pulse Opinion Research,C+,48,1825
2018-06-19,CNBC/Hart Research/Public Opinion Strategies,A-,41,1825
2018-06-19,YouGov,B,39,1825
2018-06-21,Ipsos,B-,40.3,1825
2018-06-20,Rasmussen Reports/Pulse Opinion Research,C+,46,1825
2018-06-20,American Research Group,B,40,1825
2018-06-21,Morning Consult,B/C,44,1825
2018-06-21,Rasmussen Reports/Pulse Opinion Research,C+,46,1825
2018-06-20,YouGov,B,44,1825
2018-06-22,Ipsos,B-,41.5,1825
2018-06-24,Gallup,B,41,1825
2018-06-23,Ipsos,B-,40.8,1825
2018-06-21,YouGov,B,38,1825
2018-06-22,YouGov,B,43,1825
2018-06-24,Ipsos,B-,40,1825
2018-06-24,Rasmussen Reports/Pulse Opinion Research,C+,46,1825
2018-06-25,Ipsos,B-,41.3,1826
2018-06-24,Morning Consult,B/C,41,1825
2018-06-25,Morning Consult,B/C,41,1826
2018-06-25,Rasmussen Reports/Pulse Opinion Research,C+,46,1826
2018-06-24,YouGov,B,39,1825
2018-06-26,Ipsos,B-,41.5,1826
2018-06-24,YouGov,B,45,1825
2018-06-27,SurveyMonkey,D-,44,1826
2018-06-25,Harris Poll,C,47,1826
2018-06-29,IBD/TIPP,A/B,41,1826
2018-06-26,Rasmussen Reports/Pulse Opinion Research,C+,45,1826
2018-06-26,YouGov,B,38,1826
2018-06-27,Ipsos,B-,41.2,1826
2018-06-25,YouGov,B,38,1826
2018-06-28,Ipsos,B-,40,1826
2018-06-26,YouGov,B,37,1826
2018-06-27,Rasmussen Reports/Pulse Opinion Research,C+,46,1826
2018-06-29,Ipsos,B-,40.3,1826
2018-06-27,YouGov,B,43,1826
2018-06-28,Rasmussen Reports/Pulse Opinion Research,C+,47,1826
2018-07-01,Gallup,B,42,1826
2018-06-30,Ipsos,B-,39.9,1826
2018-06-28,YouGov,B,41,1826
2018-06-29,Morning Consult,B/C,43,1826
2018-07-01,Ipsos,B-,40.1,1826
2018-07-01,SurveyMonkey,D-,48,1826
2018-07-01,Rasmussen Reports/Pulse Opinion Research,C+,48,1826
2018-07-01,Quinnipiac University,B+,40,1826
2018-06-30,YouGov,B,42,1826
2018-06-29,Winston Group,B/C,40,1826
2018-06-30,YouGov,B,39,1826
2018-07-02,The Washington Post/George Mason University,A+,43,1827
2018-07-02,Ipsos,B-,40.8,1827
2018-07-02,Rasmussen Reports/Pulse Opinion Research,C+,48,1827
2018-07-03,Morning Consult,B/C,43,1827
2018-07-02,YouGov,B,42,1827
2018-07-03,Ipsos,B-,42.4,1827
2018-07-04,SurveyMonkey,D-,46,1827
2018-07-03,YouGov,B,41,1827
2018-07-04,Ipsos,B-,42.3,1827
2018-07-02,YouGov,B,40,1827
2018-07-05,Ipsos,B-,42.1,1827
2018-07-03,YouGov,B,39,1827
2018-07-05,Rasmussen Reports/Pulse Opinion Research,C+,47,1827
2018-07-05,YouGov,B,43,1827
2018-07-06,Ipsos,B-,42.6,1827
2018-07-06,Morning Consult,B/C,44,1827
2018-07-20,SurveyMonkey,D-,45,1829
2018-07-07,Ipsos,B-,40.5,1827
2018-07-06,YouGov,B,41,1827
2018-07-08,Gallup,B,41,1827
2018-07-08,SurveyMonkey,D-,45,1827
2018-07-08,Rasmussen Reports/Pulse Opinion Research,C+,47,1827
2018-07-06,YouGov,B,40,1827
2018-07-08,Ipsos,B-,38.9,1827
2018-07-08,Global Strategy Group/GBAO (Navigator Research),,43,1827
2018-07-09,Ipsos,B-,38.7,1828
2018-07-09,Rasmussen Reports/Pulse Opinion Research,C+,47,1828
2018-07-07,Emerson College,A-,43.2,1827
2018-07-08,YouGov,B,41,1827
2018-07-10,Ipsos,B-,38.7,1828
2018-07-09,YouGov,B,41,1828
2018-07-09,Global Strategy Group/GBAO (Navigator Research),,40,1828
2018-07-11,SurveyMonkey,D-,45,1828
2018-07-10,Morning Consult,B/C,46,1828
2018-07-15,Cards Against Humanity/Survey Sampling International,,41,1828
2018-07-10,YouGov,B,39,1828
2018-07-11,Ipsos,B-,38,1828
2018-07-10,Rasmussen Reports/Pulse Opinion Research,C+,47,1828
2018-07-09,YouGov,B,41,1828
2018-07-12,Ipsos,B-,38.2,1828
2018-07-10,YouGov,B,40,1828
2018-07-11,Fox News,A-,46,1828
2018-07-11,Rasmussen Reports/Pulse Opinion Research,C+,46,1828
2018-07-11,YouGov,B,40,1828
2018-07-12,Rasmussen Reports/Pulse Opinion Research,C+,46,1828
2018-07-13,Ipsos,B-,39.7,1828
2018-07-12,YouGov,B,38,1828
2018-07-14,Ipsos,B-,39,1828
2018-07-15,SurveyMonkey,D-,46,1828
2018-07-15,Gallup,B,43,1828
2018-07-13,YouGov,B,43,1828
2018-07-15,Rasmussen Reports/Pulse Opinion Research,C+,45,1828
2018-07-15,Ipsos,B-,38.8,1828
2018-07-14,YouGov,B,40,1828
2018-07-16,Ipsos,B-,39.5,1829
2018-07-14,Morning Consult,B/C,43,1828
2018-07-16,Rasmussen Reports/Pulse Opinion Research,C+,46,1829
2018-07-18,SurveyMonkey,D-,44,1829
2018-07-17,Ipsos,B-,40.2,1829
2018-07-15,YouGov,B,42,1828
2018-07-17,YouGov,B,39,1829
2018-07-17,Morning Consult,B/C,41.5,1829
2018-07-16,YouGov,B,43,1829
2018-07-18,Ipsos,B-,40.7,1829
2018-07-17,Rasmussen Reports/Pulse Opinion Research,C+,44,1829
2018-07-18,NBC News/The Wall Street Journal,A-,45,1829
2018-07-19,Ipsos,B-,41.1,1829
2018-07-17,Ipsos,B-,39,1829
2018-07-17,Morning Consult,B/C,43,1829
2018-07-18,Rasmussen Reports/Pulse Opinion Research,C+,45,1829
2018-07-17,SurveyMonkey,D-,45,1829
2018-07-18,YouGov,B,42,1829
2018-07-19,Rasmussen Reports/Pulse Opinion Research,C+,44,1829
2018-07-20,Ipsos,B-,40.8,1829
2018-07-19,YouGov,B,38,1829
2018-07-18,Morning Consult,B/C,46,1829
2018-07-19,YouGov,B,42,1829
2018-07-20,American Research Group,B,37,1829
2018-07-21,Ipsos,B-,41.3,1829
2018-07-22,Gallup,B,42,1829
2018-07-19,Public Policy Polling,B,43,1829
2018-07-20,SurveyMonkey,D-,45,1829
2018-07-20,YouGov,B,39,1829
2018-07-22,Ipsos,B-,41.6,1829
2018-07-22,Kaiser Family Foundation,,40,1829
2018-07-22,Rasmussen Reports/Pulse Opinion Research,C+,46,1829
2018-07-23,Quinnipiac University,B+,38,1830
2018-07-23,Rasmussen Reports/Pulse Opinion Research,C+,46,1830
2018-07-21,YouGov,B,42,1829
2018-07-23,Morning Consult,B/C,42.5,1830
2018-07-22,Marist College,A+,39,1829
2018-07-23,Ipsos,B-,40.4,1830
2018-07-24,Ipsos,B-,41.9,1830
2018-07-22,HarrisX,C,48,1829
2018-07-22,YouGov,B,40,1829
2018-07-25,SurveyMonkey,D-,43,1830
2018-07-23,YouGov,B,40,1830
2018-07-25,Ipsos,B-,41.9,1830
2018-07-24,YouGov,B,41,1830
2018-07-24,Rasmussen Reports/Pulse Opinion Research,C+,46,1830
2018-07-26,GQR Research,B,40,1830
2018-07-25,Rasmussen Reports/Pulse Opinion Research,C+,46,1830
2018-07-26,Ipsos,B-,42.1,1830
2018-07-24,YouGov,B,39,1830
2018-07-26,Rasmussen Reports/Pulse Opinion Research,C+,46,1830
2018-07-25,YouGov,B,40,1830
2018-07-27,Ipsos,B-,42.7,1830
2018-07-25,Harris Poll,C,45,1830
2018-07-29,Gallup,B,40,1830
2018-07-26,YouGov,B,44,1830
2018-07-28,Ipsos,B-,42.1,1830
2018-07-27,SurveyMonkey,D-,43,1830
2018-07-29,Ipsos,B-,42.5,1830
2018-07-29,Rasmussen Reports/Pulse Opinion Research,C+,47,1830
2018-07-27,YouGov,B,41,1830
2018-07-30,Morning Consult,B/C,41.5,1831
2018-07-30,Ipsos,B-,41.6,1831
2018-07-28,YouGov,B,38,1830
2018-07-30,Rasmussen Reports/Pulse Opinion Research,C+,48,1831
2018-07-31,Ipsos,B-,40.2,1831
2018-07-29,YouGov,B,41,1830
2018-08-01,SurveyMonkey,D-,44,1831
2018-08-01,Ipsos,B-,40.3,1831
2018-07-31,Rasmussen Reports/Pulse Opinion Research,C+,48,1831
2018-07-31,YouGov,B,39,1831
2018-08-02,IBD/TIPP,A/B,41,1831
2018-07-30,YouGov,B,42,1831
2018-08-02,Ipsos,B-,40,1831
2018-07-31,Winston Group,B/C,43,1831
2018-08-01,Rasmussen Reports/Pulse Opinion Research,C+,50,1831
2018-08-01,YouGov,B,42,1831
2018-08-02,Rasmussen Reports/Pulse Opinion Research,C+,48,1831
2018-08-09,YouGov,B,45,1832
2018-08-01,YouGov,B,40,1831
2018-08-03,Ipsos,B-,40.3,1831
2018-08-03,SurveyMonkey,D-,44,1831
2018-08-05,Gallup,B,41,1831
2018-08-04,Ipsos,B-,41.7,1831
2018-08-02,YouGov,B,39,1831
2018-08-05,Ipsos,B-,42.7,1831
2018-08-03,YouGov,B,40,1831
2018-08-05,Rasmussen Reports/Pulse Opinion Research,C+,47,1831
2018-08-05,Global Strategy Group/GBAO (Navigator Research),,39,1831
2018-08-06,Ipsos,B-,42.3,1832
2018-08-05,YouGov,B,39,1831
2018-08-06,Rasmussen Reports/Pulse Opinion Research,C+,47,1832
2018-08-04,HarrisX,C,51,1831
2018-08-06,Morning Consult,B/C,43,1832
2018-08-07,Ipsos,B-,43.1,1832
2018-08-08,SurveyMonkey,D-,44,1832
2018-08-05,YouGov,B,37,1831
2018-08-07,Rasmussen Reports/Pulse Opinion Research,C+,47,1832
2018-08-06,YouGov,B,40,1832
2018-08-08,Ipsos,B-,42.9,1832
2018-08-12,Pew Research Center,B/C,40,1832
2018-08-07,YouGov,B,40,1832
2018-08-07,HarrisX,C,47,1832
2018-08-09,Ipsos,B-,41.9,1832
2018-08-08,Zogby Analytics,C+,46,1832
2018-08-08,Rasmussen Reports/Pulse Opinion Research,C+,47,1832
2018-08-08,YouGov,B,40,1832
2018-08-15,Cards Against Humanity/Survey Sampling International,,35,1833
2018-08-09,Rasmussen Reports/Pulse Opinion Research,C+,46,1832
2018-08-09,YouGov,B,42,1832
2018-08-10,Ipsos,B-,40.4,1832
2018-08-12,SurveyMonkey,D-,44,1832
2018-08-10,SurveyMonkey,D-,45,1832
2018-08-09,YouGov,B,40,1832
2018-08-12,Gallup,B,39,1832
2018-08-11,YouGov,B,38,1832
2018-08-12,Rasmussen Reports/Pulse Opinion Research,C+,48,1832
2018-08-12,Morning Consult,B/C,41,1832
2018-08-13,Rasmussen Reports/Pulse Opinion Research,C+,50,1833
2018-08-12,CNN/SSRS,B/C,42,1832
2018-08-14,Ipsos,B-,41.4,1833
2018-08-13,Quinnipiac University,B+,41,1833
2018-08-12,YouGov,B,41,1832
2018-08-15,Ipsos,B-,42.1,1833
2018-08-15,SurveyMonkey,D-,45,1833
2018-08-13,YouGov,B,41,1833
2018-08-14,YouGov,B,42,1833
2018-08-14,Rasmussen Reports/Pulse Opinion Research,C+,49,1833
2018-08-16,Saint Leo University,C/D,47.8,1833
2018-08-14,YouGov,B,40,1833
2018-08-16,Ipsos,B-,42.7,1833
2018-08-15,YouGov,B,42,1833
2018-08-15,Rasmussen Reports/Pulse Opinion Research,C+,49,1833
2018-08-17,Ipsos,B-,42,1833
2018-08-16,Rasmussen Reports/Pulse Opinion Research,C+,48,1833
2018-08-18,Ipsos,B-,42.5,1833
2018-08-16,YouGov,B,41,1833
2018-08-19,Gallup,B,42,1833
2018-08-16,YouGov,B,37,1833
2018-08-17,SurveyMonkey,D-,43,1833
2018-08-19,Ipsos,B-,42.6,1833
2018-08-19,Rasmussen Reports/Pulse Opinion Research,C+,48,1833
2018-08-19,Monmouth University,A+,43,1833
2018-08-20,Ipsos,B-,42.9,1834
2018-08-18,Morning Consult,B/C,42,1833
2018-08-17,YouGov,B,41,1833
2018-08-21,Ipsos,B-,42.1,1834
2018-08-19,YouGov,B,41,1833
2018-08-20,Rasmussen Reports/Pulse Opinion Research,C+,46,1834
2018-08-20,AP-NORC,,38,1834
2018-08-22,SurveyMonkey,D-,44,1834
2018-08-19,YouGov,B,38,1833
2018-08-22,Ipsos,B-,40.4,1834
2018-08-20,American Research Group,B,36,1834
2018-08-21,Fox News,A-,45,1834
2018-08-22,NBC News/The Wall Street Journal,A-,46,1834
2018-08-20,YouGov,B,43,1834
2018-08-21,YouGov,B,41,1834
2018-08-23,Ipsos,B-,39.1,1834
2018-08-21,Rasmussen Reports/Pulse Opinion Research,C+,46,1834
2018-08-21,HarrisX,C,48,1834
2018-08-22,Rasmussen Reports/Pulse Opinion Research,C+,46,1834
2018-08-21,YouGov,B,42,1834
2018-08-24,Ipsos,B-,38.6,1834
2018-08-22,YouGov,B,38,1834
2018-08-24,HarrisX,C,47,1834
2018-08-25,Ipsos,B-,38.7,1834
2018-08-23,Rasmussen Reports/Pulse Opinion Research,C+,46,1834
2018-08-23,YouGov,B,39,1834
2018-08-26,Ipsos,B-,38.3,1834
2018-08-24,SurveyMonkey,D-,44,1834
2018-08-23,Harris Poll,C,46,1834
2018-08-26,Gallup,B,41,1834
2018-08-24,Morning Consult,B/C,41,1834
2018-08-26,Rasmussen Reports/Pulse Opinion Research,C+,46,1834
2018-08-24,YouGov,B,41,1834
2018-08-27,Ipsos,B-,38.1,1835
2018-08-25,NBC News/The Wall Street Journal,A-,44,1834
2018-08-25,YouGov,B,41,1834
2018-08-27,McLaughlin & Associates,C/D,48,1835
2018-08-28,Ipsos,B-,37.4,1835
2018-08-26,Morning Consult,B/C,43,1834
2018-08-27,Rasmussen Reports/Pulse Opinion Research,C+,46,1835
2018-08-28,Kaiser Family Foundation,,37,1835
2018-08-29,Ipsos,B-,38.5,1835
2018-08-29,SurveyMonkey,D-,44,1835
2018-08-27,YouGov,B,41,1835
2018-08-28,Suffolk University,A,39.8,1835
2018-08-28,YouGov,B,41,1835
2018-08-30,Ipsos,B-,39.7,1835
2018-08-27,YouGov,B,43,1835
2018-08-28,Rasmussen Reports/Pulse Opinion Research,C+,47,1835
2018-08-30,IBD/TIPP,A/B,36,1835
2018-08-29,ABC News/The Washington Post,A+,36,1835
2018-08-29,Vox Populi Polling,B/C,48,1835
2018-08-29,YouGov,B,39,1835
2018-08-29,Morning Consult,B/C,41,1835
2018-08-31,Ipsos,B-,40,1835
2018-08-29,Rasmussen Reports/Pulse Opinion Research,C+,48,1835
2018-08-28,Public Policy Polling,B,41,1835
2018-08-30,Rasmussen Reports/Pulse Opinion Research,C+,48,1835
2018-08-30,YouGov,B,43,1835
2018-08-31,HarrisX,C,46,1835
2018-08-30,SurveyMonkey,D-,44,1835
2018-09-01,Ipsos,B-,39.5,1835
2018-08-30,YouGov,B,38,1835
2018-09-02,Gallup,B,41,1835
2018-08-31,Morning Consult,B/C,46,1835
2018-08-31,Emerson College,A-,37.7,1835
2018-08-31,Morning Consult,B/C,41,1835
2018-09-02,Ipsos,B-,39.5,1835
2018-09-02,Selzer & Co.,A+,39,1835
2018-08-31,YouGov,B,39,1835
2018-09-02,Rasmussen Reports/Pulse Opinion Research,C+,47,1835
2018-09-03,Ipsos,B-,39.6,1836
2018-09-01,YouGov,B,40,1835
2018-09-02,Morning Consult,B/C,42,1835
2018-09-03,Rasmussen Reports/Pulse Opinion Research,C+,45,1836
2018-09-04,Ipsos,B-,39.7,1836
2018-09-01,HarrisX,C,47,1835
2018-09-03,SurveyMonkey,D-,42,1836
2018-09-05,Winston Group,B/C,40,1836
2018-09-05,SurveyMonkey,D-,43,1836
2018-09-02,YouGov,B,39,1835
2018-09-05,Ipsos,B-,38.9,1836
2018-09-06,Ipsos,B-,39.3,1836
2018-09-04,Rasmussen Reports/Pulse Opinion Research,C+,44,1836
2018-09-03,YouGov,B,41,1836
2018-09-04,YouGov,B,38,1836
2018-09-04,YouGov,B,40,1836
2018-09-05,Rasmussen Reports/Pulse Opinion Research,C+,46,1836
2018-09-07,Ipsos,B-,39.9,1836
2018-09-06,Rasmussen Reports/Pulse Opinion Research,C+,48,1836
2018-09-05,YouGov,B,41,1836
2018-09-08,Ipsos,B-,40.4,1836
2018-09-09,Ipsos,B-,40.3,1836
2018-09-07,HarrisX,C,48,1836
2018-09-06,YouGov,B,42,1836
2018-09-09,SurveyMonkey,D-,44,1836
2018-09-09,Gallup,B,40,1836
2018-09-07,SurveyMonkey,D-,42,1836
2018-09-09,Global Strategy Group/GBAO (Navigator Research),,39,1836
2018-09-07,Morning Consult,B/C,40,1836
2018-09-09,Marist College,A+,39,1836
2018-09-10,Ipsos,B-,40.2,1837
2018-09-07,YouGov,B,37,1836
2018-09-09,Rasmussen Reports/Pulse Opinion Research,C+,48,1836
2018-09-09,CNN/SSRS,B/C,36,1836
2018-09-09,YouGov,B,39,1836
2018-09-10,Rasmussen Reports/Pulse Opinion Research,C+,47,1837
2018-09-09,Quinnipiac University,B+,38,1836
2018-09-11,Ipsos,B-,40,1837
2018-09-09,Morning Consult,B/C,41,1836
2018-09-24,USC Dornsife/Los Angeles Times,B/C,39,1839
2018-09-12,Ipsos,B-,40.7,1837
2018-09-09,YouGov,B,39,1836
2018-09-12,SurveyMonkey,D-,43,1837
2018-09-10,YouGov,B,37,1837
2018-09-11,YouGov,B,42,1837
2018-09-11,Rasmussen Reports/Pulse Opinion Research,C+,45,1837
2018-09-13,Ipsos,B-,40,1837
2018-09-11,YouGov,B,38,1837
2018-09-12,Rasmussen Reports/Pulse Opinion Research,C+,46,1837
2018-09-14,Ipsos,B-,40.7,1837
2018-09-12,YouGov,B,39,1837
